token,face_swap
12c51e2623892255d95decab06b6599284018e75b414a325ae0db6731801vi07,True
e42dff2e348d5657d00b5859d6ca0b90804092431fc442b865d4139f1801vi07,True
7e37b0c70e6cb70bbc58c8e6f16364503c20cb8e92ded8279dee0bfb1801vi07,True
02a7ade030e45a2f9c04d09239223e69ff66f30aba47c6047b756ee71801vi07,True
ee74f74b78dbb5b7e496311128eafcfad4fe073cfbb0ce6c6a351b8f1801vi07,True
455bd8e3e327c85b3cffc72bcd4c7b243103ab2a0d47e65e9e0863fa1801vi07,True
45fc63abcc8d59cd3a0059459e3b0c8fecf3034e326ea803fd39a3001801vi07,True
3c0751d74f4d2bf8b22f9ea448fc8eb8e267ec79ea86740c146031481801vi07,True
613c119719f2bceb17deb334dc532727fbbd35832fa7a6a944dcb02a1801vi07,True
43c0d8eedc12f27e93031dd8c0cdf1c7b75d80eb0a38e7fa589e33a41801vi07,True
f3a8789a9be1b4b64548f4b8ffeb1fa730e5c17711dcacf2fa89192f1801vi07,True
1f19398e2cb2e2cd68697b2472839c5bbe2f3b158049dcd682ce85051801vi07,True
a2c5130a2d877964dd0d7d94a9c9c9e3058d3613a3e39515d3001ea51801vi07,True
926b099d480cc9a53f9c153d111e1c9bac0ee03d2f8aaacf1cc1cc121801vi07,True
d72b47e00c41fa351a0acb1e82d8dbbbc2589eccd97f52855e05324b1801vi07,True
34840d07dcfb8742db619b6f6aaf65e1692de49024a148da422e17f91801vi07,True
be919526c4152867536544bb39149fd175032f52e411f416eccd0e071801vi07,True
8621a750eeb11a70aee17f0eebbed7842449a82e14c1e69669b388cb1801vi07,True
01977b26ec8d0bc7c461daff0d951a6f766731e2e31c3fc435c984831801vi07,True
d5689c4c685af31d03ab649d1f2b448f2932ad927a577fcf1f7f2cf61801vi07,True
a39a865e286db271a612bd803315d41fee28a2eb3ef56222ebafe93a1801vi07,True
0a59afa3d52e3a3f77937fed9a98ecd57d9d64e2610a617cdef43cef1801vi07,True
572df2b21910f4bca150d5c1912c1f813e6bf9e78c293af014b8e97c1801vi07,True
9b79519c99f727e385e8bb21ef11d08909afe686971d32da8481bcb11801vi07,True
70005959f124bafe5d4485e04e7e3dfb796031b17886bdacc15555091801vi07,True
3ed3e36028f23add71dea4833f486da514cd8468682286287e5723e91801vi07,True
1902e5396039454a57bd7de58591494d253aa8f70d484ab5f40864fe1801vi07,True
e94258dfd30a469e30747e535869e068d05adae6e7e352cc9034b0c31801vi07,True
0e30d3391cf9e46d267ead9a16b95bfd02d811d493ad5b9fd614acfb1801vi07,True
a076580222b1ea05a8985827f368161fa85ee1467f5dea3847b8db901801vi07,True
1aac05b0e899d3bdb4c018ca6e756eeabd04f3676f88edbf26243dca1801vi07,True
6aa0819f4d6da87425dfb3ab370169de43f58d1c773a14ac1a126c5b1801vi07,True
e44fe50ba5186075fc31a4dad15cbd9bac873e03e9d0b2a113aa5fa31801vi07,True
66a2a329bc4ce97de439f4684045fa5b446a5cd568db81abb456f3961801vi07,True
0b680f6289b11bd7a975d8f290fbffd98456ef5f187254e98265adc11801vi07,True
175373af7b816244a09c832bcdcd3ea9f1ae1af2871164d3efc965471801vi07,True
1e9216a17c59b58c8b5ecdfd07922c2eabdee585bcad2d50c17a9faa1801vi07,True
781b3970aa573457a0d867d704d36a63255e02e86e0b0d2186c2e4191801vi07,True
3890905abc1465d5a5aee6f7291bc2659e7c15670443c50dc569995a1801vi07,True
8ea9b840d65fd45a01977217539e085dabd07d91659ed642c3b407c11801vi07,True
e05fd8ddc8ff8f30ada8a7628c6ea7a37abefef165471e3327c8b0311801vi07,True
728ada647dff74520948863b35f6cd425e0aa49b6767ab7a346db8081801vi07,True
90f54da9a94f640bc8d9601032fe30ed25a015cd73fb522f1c145dbb1801vi07,True
d4a3c2cf5550970096e94239c3d930d82374806cbd5f8329a80f42c81801vi07,True
c9dc013e7235d75fa2379e968c5a375bf41490e7d79579c16733a3391801vi07,True
abfbe9c9c039179c4e4a627e7b7daa96e28e08daf12ec7914bc666551801vi07,True
1fc33b904589a75ddbc33c1df72acbb9f65dc64db33a0a7804c27e311801vi07,True
